Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Label
124907.0,-26477.753474230496,1149.6463990309937,3762.497781246105,19004.94621538904,19302.459382330875,-1962.6876663483943,0
124929.0,-24774.278892514394,5815.797904456577,-4440.270158876726,24912.04832252112,25494.799089800366,-1.1546727694308427,0
124951.0,-27069.628071345545,9267.657268936835,3768.1402604185246,15957.077186095174,24412.856717398605,-995.8109421766056,0
124973.0,-27193.22116762975,9705.878633220185,1392.6033368541812,8395.502677703747,11944.705302232249,-1663.3690857482184,0
124995.0,-20821.79518413934,6064.294075013362,-25221.557427451746,16185.629180260468,31711.04091989892,-6472.46953450727,0
125017.0,-34486.46939578666,5702.02938044708,-12714.570509466133,-7784.318968463641,10657.798556268175,-4649.2937365850685,0
125039.0,-9680.838382359243,13248.237751793129,18747.246285768877,-11191.060880075489,-5602.936077752399,4400.9553450826925,0
125061.0,-6226.4113253022315,2656.970011960048,10511.296547124502,-10613.131566494643,-8737.247208482338,-626.2438358941821,0
125083.0,-7443.066285883388,1687.9788993186432,2961.842008692553,-4703.152212908771,-15145.713242603182,2094.8210029302872,0
125105.0,-9060.797456609816,3323.5796558280067,-0.7573193424414898,-3957.4223562973566,-22364.540741802815,4750.446308728666,0
125127.0,-10179.753654319693,5728.673048500188,2850.0890856738506,-6922.428818349306,-29478.455360305168,5259.696792635959,0
125149.0,-13406.632059624322,4129.120247669947,1789.9682305208385,-11529.885175831067,-34411.00825070874,4719.359315717617,0
125171.0,-16314.03515821144,4035.1791926796063,-686.3770652609347,-11651.242013297211,-34189.618666358816,5769.882939679429,0
125193.0,-21722.82336264272,2800.674974467405,-3329.262440534929,-12201.801772707027,-34504.61999262292,5011.311411856275,0
125215.0,-24923.299529721215,1666.6209719498827,-2933.705403927365,-12063.687238655993,-34291.28468487941,4974.920011012569,0
125237.0,-29906.618704706016,2823.315938700427,-4868.508163984781,-8854.814781450366,-34631.320723493605,4677.722429538615,0
125259.0,-33521.73988794656,3672.5964383321816,-7641.129560881026,-10427.665864209848,-34743.7097624399,5352.414488747411,0
125281.0,-34706.99303780596,3865.9232605480697,-10388.041529563587,-9738.270353002454,-34216.079665993704,3520.905809694635,0
125303.0,-34330.82296092288,2561.4629847934475,-14709.06414848092,-5963.877158792467,-34598.312279426274,3400.812277327561,0
125325.0,-34683.15429806227,3474.120843149213,-20167.820177408328,806.6009523342459,-34540.57514243404,3215.9929034374863,0
125347.0,-27417.063540723553,3383.491200375275,-26523.66070574619,1042.8126977914835,-34360.54656657866,2318.2840583659663,0
125369.0,-20008.80719057315,-4988.201619144235,-34464.0256253152,12438.300094154405,-22707.136107188486,3860.2870766479055,0
125391.0,-5239.676412664814,-2175.313529714611,-34631.093205074656,11968.618981877844,-6324.106986992505,9105.509133814741,0
125413.0,-9448.658216099428,-1616.1269100118316,-26238.702886314124,11383.54930414993,7765.83193070365,-2720.953262928815,0
125435.0,-15999.666257548412,-2187.881896170294,-26484.940106607817,994.7024005677212,16907.791001599668,-6506.015465965033,0
125457.0,-21148.882698310103,-827.9762369911581,-16942.779884810254,-3655.655776583272,20844.950172626905,-3282.688610266063,0
125479.0,-23860.27961160639,840.2264720122093,-12007.622250841241,3519.513378766133,23793.678045027045,80.00356309197849,0
125501.0,-19513.82645314468,13269.733634871644,34268.945177105285,-16533.892779758822,2632.6082648004617,-1291.030841565424,0
