Timestamp,Ax,Ay,Az,Gx,Gy,Gz
8417,-14176,-5776,4700,5577,-10299,-5650
8439,-15384,-916,352,9171,-6478,164
8461,-17348,1744,-8556,5972,-6406,2471
8483,-15632,6348,-4992,-4274,-5511,6809
8505,-15720,1612,-472,-9084,-5911,-741
8527,-14524,-1012,-4440,-6633,-4868,-2798
8549,-14320,3104,-4544,-3208,-2540,-91
8571,-15012,2368,-3520,-3310,377,929
8593,-16264,3244,-3248,-3422,2720,991
8615,-15984,3788,-936,-3930,2517,-361
8637,-14560,2268,7272,114,-340,-1297
8659,-13748,2040,10900,5950,-3460,-608
8681,-14076,5124,9936,5260,-5645,1166
8703,-15240,4108,6012,-2184,-6719,-813
8725,-17484,4480,-3864,-2994,-4901,1735
8747,-14760,1008,-3332,-5262,-2805,666
8769,-12324,-2544,-4480,-6924,2586,-1671
8791,-12084,-2372,-9408,-7526,11369,-2807
8813,-32768,-9260,-388,-15713,2541,3134
8835,-15632,14968,15568,2078,1157,1842
8857,-15832,2912,-5220,12045,4871,307
8879,-20336,4064,1044,2426,3683,1542
8901,-14980,2352,572,2441,4337,113
8923,-16288,3220,-1116,-448,2748,-11
8945,-14716,4244,56,925,2961,436
8967,-15576,1956,-276,-58,2777,-6
8989,-17600,-36,-212,627,3252,483
9011,-17324,2040,252,2120,4078,1562
9033,-15912,4012,-796,2507,4471,1299
9055,-16452,4512,-1332,1382,3628,-35
9077,-16500,3432,-1748,-3142,1646,-2243
9099,-16316,3036,-2280,-1653,705,-2397
9121,-16628,2492,-1400,-684,-129,-1788
9143,-16652,2056,-796,-328,-529,-1475
9165,-15840,2740,-680,-306,-143,-1072
9187,-15868,3552,-716,-880,775,-1118
9209,-15932,2696,-940,-1201,1934,-1481
9231,-15800,2780,-1028,-1010,3293,-1290
9253,-15772,2644,-1276,-1176,4729,-956
9275,-16620,836,-808,-2890,6640,-1152
9297,-18056,1444,256,-4442,8231,-1590
9319,-18100,2028,288,-3771,4165,-2728
9341,-17884,3868,-924,4655,8180,-870
9363,-21448,5740,-1684,4897,9176,66
9385,-18776,6220,7712,5030,7663,1105
9407,-14800,6900,12500,-2329,2935,592
9429,-12340,3184,14232,-6290,-4774,386
9451,-13352,3060,10184,-2217,-9600,1444
9473,-15100,3008,5128,-2692,-10707,1051
9495,-19444,1160,-2864,-2916,-10201,-130
9517,-19820,3208,-14940,-4490,-6188,1983
9539,-17916,4884,-5896,-10893,-9117,2283
9561,-16508,-3660,168,-2834,-13566,-992
9583,-16096,3792,-996,7786,-14754,4188
9605,-18556,1528,-8712,12580,-14009,-1861
9627,-16508,220,-11964,14742,-11520,-2322
9649,-14436,2884,-7780,14441,-4595,1209
9671,-15328,1912,-3676,4930,1189,824
9693,-14508,1660,684,-7953,2351,2107
9715,-15160,3104,2296,-13089,75,588
9737,-15396,-232,2028,-10802,-2348,-2958
9759,-16592,-152,964,-3019,-1266,-2506
9781,-14708,3940,2848,-1196,1261,364
9803,-16512,3536,-3144,2652,2049,2953
9825,-17128,9124,2732,-2674,267,3101
9847,-14988,-2856,10600,1438,-5496,-5891
9869,-15348,3472,7396,11793,-6072,-167
9891,-15112,3140,2356,9630,-5756,1115
9913,-15116,4844,712,2979,-2679,4810
9935,-15852,4348,-5528,-6009,-278,4733
9957,-14660,5376,-2376,-14452,289,2075
9979,-14008,-2368,-2636,-13361,593,-3440
10001,-10968,-368,-1844,-9876,3750,-2938
10023,-11548,-3592,-1152,-9931,4096,-4096
10045,-16388,-484,-8536,-9039,5817,-1490
10067,-16884,-1776,-5460,-256,1532,-2049
10089,-21776,-2668,-3240,-670,2153,-1575
10111,-22636,31848,28212,4472,-5678,10911
