Timestamp,Ax,Ay,Az,Gx,Gy,Gz
13587,-32768,2740,-18108,-7327,-32768,6003
13609,-32284,2760,-23612,-5656,-32768,4581
13631,-24100,-4592,-31876,-1573,-27519,2780
13653,-13488,-4156,-32768,10973,-11989,6156
13675,-9988,-5628,-32768,11780,4226,1763
13697,-18372,1604,-19504,4236,12796,-9872
13719,-26116,3856,32767,-865,7003,2281
13741,-27832,-18856,-26404,-2996,18979,-6937
13763,-25160,2780,-844,7518,18052,2234
13785,-20056,11272,-8364,-7,19298,3172
13807,-18828,3152,-5280,-5885,13197,-358
13829,-12696,3780,684,-3487,11023,-3035
13851,-19508,-1412,-1332,-231,10032,-3335
13873,-16896,1736,-492,975,8864,-1892
13895,-16940,1420,-268,383,7619,-186
13917,-16876,2764,-108,-1897,6979,-616
13939,-15584,3784,-384,-3554,6261,-1212
13961,-15876,2144,-584,-2073,5674,-2193
13983,-16372,1452,-1208,-1592,5756,-2158
14005,-15976,1984,-492,-1558,6056,-1031
14027,-16500,2620,-588,-2317,6318,-915
14049,-16060,3036,-704,-4445,6738,-1427
14071,-16228,2808,-1640,-5957,7596,-1261
14093,-16472,2096,-2828,-7515,8617,-1632
14115,-16296,1880,-2648,-7560,9851,-2363
14137,-16928,2320,-2512,-5432,11465,-2372
14159,-18260,2772,-3900,-1758,12470,-2533
14181,-19372,2796,-3740,3058,14781,-3060
14203,-21796,2328,-2856,5794,17413,-2917
14225,-22776,-1784,-1824,6432,17028,-4673
14247,-23384,-1860,-3376,4169,16289,-3676
14269,-21336,1336,-3056,3942,16148,-2961
14291,-24188,1424,-1124,3795,16113,-2995
14313,-27132,6420,3816,5247,15630,-3791
14335,-32768,-604,16668,15183,-1484,-4016
14357,-18444,1784,-9996,31543,17261,-5989
14379,-27056,7364,-10952,14631,25756,-1905
14401,-26132,11872,-10104,4473,24413,-3858
14423,-10716,7104,-7880,-513,16766,-8425
14445,-12740,8036,21952,-12745,4533,5632
14467,-5408,6068,11448,-7911,-2171,2550
14489,-7940,3128,9028,-9526,-10416,5044
14511,-8960,3960,8136,-6981,-17560,6083
14533,-12132,424,5648,-6028,-24356,6061
14555,-14748,-1540,2388,-5920,-29063,7361
14577,-18508,-868,1712,-7471,-32581,7916
14599,-21868,-996,-660,-6572,-32768,7299
14621,-24908,288,-2440,-8092,-32768,6940
14643,-28332,1048,-2476,-9829,-32768,5801
14665,-30840,1544,-3136,-10539,-32768,3946
14687,-32768,2820,-4872,-9342,-32768,3475
14709,-32768,1624,-8248,-8499,-32768,2611
14731,-32768,-620,-13716,-4728,-32768,2281
